run_id,scenario,controller,n_agents,seed,packet_loss,latency_ms,comm_radius_m,k_neighbors,update_rate_hz,obstacle_update_rate_hz,local_dropout,local_latency_ms,local_pos_noise_m,local_vel_noise_mps,local_safety_dropout,local_safety_latency_ms,local_safety_update_rate_hz,local_safety_position_noise_std_m,local_safety_velocity_noise_std_mps,local_safety_latency_steps,local_safety_dropout_attempts,local_safety_dropout_holds,local_safety_realized_dropout_rate,horizon_s,dt_s,min_inter_agent_distance_m,min_obstacle_contact_boundary_margin_m,cumulative_collision_pairs,collision_rate_per_pair_step,cumulative_safety_violation_pairs,safety_violation_rate_per_pair_step,cumulative_obstacle_contacts,obstacle_contact_rate_per_agent_step,final_reached_fraction,mission_success,completion_time_s,final_mean_goal_distance_m,energy_proxy_accel2_s_per_agent,mean_messages_per_agent_per_update,runtime_s,runtime_ms_per_agent_step,scenario_description,pairwise_projection_calls,pairwise_projection_pair_adjustments,pairwise_projection_agent_adjustments,pairwise_projection_total_displacement_m,pairwise_projection_max_displacement_m,pairwise_projection_velocity_corrections,pairwise_projection_agent_adjustment_rate_per_agent_step,obstacle_projection_calls,obstacle_projection_agent_adjustments,obstacle_projection_total_displacement_m,obstacle_projection_max_displacement_m,obstacle_projection_velocity_corrections,obstacle_projection_agent_adjustment_rate_per_agent_step,projection_agent_adjustments,projection_agent_adjustment_rate_per_agent_step,projection_total_displacement_m,projection_mean_displacement_m_per_adjustment,projection_max_displacement_m,pre_projection_state_checks,pre_projection_collision_pairs,pre_projection_collision_rate_per_pair_step,pre_projection_obstacle_contacts,pre_projection_obstacle_contact_rate_per_agent_step,pre_projection_pairwise_violation_pairs,pre_projection_pairwise_violation_rate_per_pair_step,pre_projection_pairwise_violation_agent_steps,pre_projection_pairwise_violation_agent_rate_per_agent_step,pre_projection_pairwise_mean_penetration_m,pre_projection_pairwise_p95_penetration_m,pre_projection_pairwise_p99_penetration_m,pre_projection_pairwise_max_penetration_m,pre_projection_obstacle_violation_agent_steps,pre_projection_obstacle_violation_rate_per_agent_step,pre_projection_obstacle_mean_penetration_m,pre_projection_obstacle_p95_penetration_m,pre_projection_obstacle_p99_penetration_m,pre_projection_obstacle_max_penetration_m,pre_projection_obstacle_min_clearance_margin_m,local_condition,T90_s,T95_s,T99_s
corridor_obstacles__proposed__N200__pl20__lat050__seed0__dropout_0p10,corridor_obstacles,proposed,200,0,0.2,50.0,4.0,12,4.0,4.0,0.1,0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0,95800,9538,0.0995615866388309,120.0,0.05,0.16359037177956107,0.36000099999999946,0,0.0,213,4.4579415193418156e-06,0,0.0,1.0,True,68.4,0.15649193088300734,40.95923329902014,9.514251559251559,128.07165571628138,0.26670482239958637,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,2,3,0.006205626580232629,0.0035129919391466416,3,6.25e-06,3,6.25e-06,0.006205626580232629,0.0020685421934108763,0.0035129919391466416,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,6.25e-06,0.002067542193410876,0.0034104404366603444,0.003491681638649382,0.0035119919391466414,-0.0035119919391466414,dropout_0p10,68.5,71.0,75.75
corridor_obstacles__proposed__N200__pl20__lat050__seed1__dropout_0p10,corridor_obstacles,proposed,200,1,0.2,50.0,4.0,12,4.0,4.0,0.1,0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0,95800,9609,0.10030271398747391,120.0,0.05,0.250392493957809,0.36000078892368537,0,0.0,302,6.320649478127832e-06,0,0.0,1.0,True,69.45,0.15928726018766856,40.950950858896476,9.53352390852391,149.21306323306635,0.3107310771200882,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,5,5,0.009702569603748459,0.0037439352855182786,5,1.0416666666666666e-05,5,1.0416666666666666e-05,0.009702569603748459,0.0019405139207496918,0.0037439352855182786,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,1.0416666666666666e-05,0.0019395139207496915,0.0035173010925675817,0.003697808446928139,0.0037429352855182785,-0.0037429352855182785,dropout_0p10,69.5,72.5,76.0
corridor_obstacles__proposed__N200__pl20__lat050__seed2__dropout_0p10,corridor_obstacles,proposed,200,2,0.2,50.0,4.0,12,4.0,4.0,0.1,0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0,95800,9647,0.10069937369519832,120.0,0.05,0.2064548095411491,0.360000999999999,0,0.0,184,3.850991735018282e-06,0,0.0,1.0,True,69.65,0.1551885180866484,40.93112618918938,9.496153846153845,159.91368542285636,0.3330147551496384,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,11,11,0.03916757287779362,0.011545601544124066,11,2.2916666666666667e-05,11,2.2916666666666667e-05,0.03916757287779362,0.0035606884434357835,0.011545601544124066,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11,2.2916666666666667e-05,0.0035596884434357834,0.008423075206964059,0.010920296276692068,0.011544601544124067,-0.011544601544124067,dropout_0p10,69.75,71.5,78.0
corridor_obstacles__proposed__N200__pl20__lat050__seed3__dropout_0p10,corridor_obstacles,proposed,200,3,0.2,50.0,4.0,12,4.0,4.0,0.1,0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0,95800,9623,0.10044885177453027,120.0,0.05,0.29598869330137323,0.360001,0,0.0,146,3.0556782245253756e-06,0,0.0,1.0,True,68.10000000000001,0.1597514696365043,40.230954905466405,9.506725571725571,152.84084657998756,0.31828581128693784,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,5,5,0.014518729753500515,0.0067670892578382815,5,1.0416666666666666e-05,5,1.0416666666666666e-05,0.014518729753500515,0.002903745950700103,0.0067670892578382815,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,1.0416666666666666e-05,0.002902745950700103,0.006303308258825879,0.006673533058035801,0.006766089257838281,-0.006766089257838281,dropout_0p10,68.5,72.5,75.5
corridor_obstacles__proposed__N200__pl20__lat050__seed4__dropout_0p10,corridor_obstacles,proposed,200,4,0.2,50.0,4.0,12,4.0,4.0,0.1,0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0,0,95800,9570,0.09989561586638832,120.0,0.05,0.2659576879380182,0.3600009999999987,0,0.0,166,3.474264282679537e-06,0,0.0,1.0,True,70.35000000000001,0.15606795573451168,40.23135176418489,9.495,157.25896934699267,0.3274864001395099,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,6,6,0.017680176000079813,0.006878146291044856,6,1.25e-05,6,1.25e-05,0.017680176000079813,0.0029466960000133022,0.006878146291044856,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,1.25e-05,0.0029456960000133017,0.0066378507365085215,0.006829287180137589,0.0068771462910448555,-0.0068771462910448555,dropout_0p10,70.25,72.33333333333333,78.0
corridor_obstacles__proposed__N200__pl20__lat050__seed0__dropout_0p20,corridor_obstacles,proposed,200,0,0.2,50.0,4.0,12,4.0,4.0,0.2,0.0,0.0,0.0,0.2,0.0,4.0,0.0,0.0,0,95800,19019,0.19852818371607517,120.0,0.05,0.16226266405727838,0.36000099999999846,0,0.0,255,5.336972241465553e-06,0,0.0,1.0,True,69.55,0.16142225372901323,42.32293430643947,9.491808731808732,159.7371061583981,0.3326470348987882,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,7,7,0.01208212767987362,0.00604799492327665,7,1.4583333333333333e-05,7,1.4583333333333333e-05,0.01208212767987362,0.0017260182399819457,0.00604799492327665,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,1.4583333333333333e-05,0.0017250182399819458,0.005318229601369427,0.005901241858895204,0.0060469949232766496,-0.0060469949232766496,dropout_0p20,69.75,71.75,80.0
corridor_obstacles__proposed__N200__pl20__lat050__seed1__dropout_0p20,corridor_obstacles,proposed,200,1,0.2,50.0,4.0,12,4.0,4.0,0.2,0.0,0.0,0.0,0.2,0.0,4.0,0.0,0.0,0,95800,18987,0.19819415448851774,120.0,0.05,0.1751931176670148,0.3600009999999987,0,0.0,374,7.827559287482812e-06,0,0.0,1.0,True,68.8,0.1530975649405892,42.90582831344277,9.529781704781705,154.24916168907657,0.32121857911094664,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,6,6,0.024913781240665282,0.010813191259994108,6,1.25e-05,6,1.25e-05,0.024913781240665282,0.004152296873444213,0.010813191259994108,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,1.25e-05,0.004151296873444214,0.00967997742709864,0.010585748493415016,0.010812191259994108,-0.010812191259994108,dropout_0p20,68.85714285714286,72.5,77.75
corridor_obstacles__proposed__N200__pl20__lat050__seed2__dropout_0p20,corridor_obstacles,proposed,200,2,0.2,50.0,4.0,12,4.0,4.0,0.2,0.0,0.0,0.0,0.2,0.0,4.0,0.0,0.0,0,95800,19256,0.20100208768267222,120.0,0.05,0.20618003411567468,0.36000099999999924,0,0.0,264,5.525335967634926e-06,0,0.0,1.0,True,70.5,0.1610040042258791,42.692667312568936,9.468898128898129,152.7559415558353,0.3181089994915354,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,6,6,0.012673127192413253,0.005664845006908197,6,1.25e-05,6,1.25e-05,0.012673127192413253,0.002112187865402209,0.005664845006908197,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,1.25e-05,0.0021111878654022087,0.005062541718269031,0.005543584349180364,0.005663845006908197,-0.005663845006908197,dropout_0p20,70.5,72.83333333333333,87.5
corridor_obstacles__proposed__N200__pl20__lat050__seed3__dropout_0p20,corridor_obstacles,proposed,200,3,0.2,50.0,4.0,12,4.0,4.0,0.2,0.0,0.0,0.0,0.2,0.0,4.0,0.0,0.0,0,95800,19055,0.19890396659707724,120.0,0.05,0.2688962349473123,0.3600009999999989,0,0.0,197,4.123072672818487e-06,0,0.0,1.0,True,69.2,0.15832063524500473,41.868969709773594,9.52056133056133,148.14312301017344,0.3085029633697906,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,4,0.014423983694806238,0.004907182181168228,4,8.333333333333334e-06,4,8.333333333333334e-06,0.014423983694806238,0.0036059959237015595,0.004907182181168228,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,8.333333333333334e-06,0.0036049959237015594,0.0046501896498779,0.004854983674910163,0.004906182181168228,-0.004906182181168228,dropout_0p20,69.33333333333333,71.0,78.0
corridor_obstacles__proposed__N200__pl20__lat050__seed4__dropout_0p20,corridor_obstacles,proposed,200,4,0.2,50.0,4.0,12,4.0,4.0,0.2,0.0,0.0,0.0,0.2,0.0,4.0,0.0,0.0,0,95800,19092,0.1992901878914405,120.0,0.05,0.2246884445395067,0.36000099999999957,0,0.0,297,6.216002963589292e-06,0,0.0,1.0,True,69.15,0.15853247655440345,42.87010926975231,9.53871101871102,154.4883495341055,0.3217166795795617,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,7,7,0.016495437297639713,0.005194609550903977,7,1.4583333333333333e-05,7,1.4583333333333333e-05,0.016495437297639713,0.002356491042519959,0.005194609550903977,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,1.4583333333333333e-05,0.002355491042519959,0.004551922628166348,0.00506527216635645,0.005193609550903977,-0.005193609550903977,dropout_0p20,69.3,71.5,76.5
