scenario,runs,safety_success_rate,mission_success_rate_T90_metric,min_final_reached_fraction,median_final_reached_fraction,total_collision_pairs,total_obstacle_contacts,median_T90_s,median_T95_s,median_T99_s,max_T99_s,T99_reached_runs,pre_projection_obstacle_max_penetration_m,pre_projection_pairwise_max_penetration_m,median_runtime_s,total_runtime_s_sum,obstacle_projection_calls_total,obstacle_projection_agent_adjustments_total,pairwise_projection_calls_total,pairwise_projection_agent_adjustments_total,projection_agent_adjustments_total,pre_projection_obstacle_contacts_total,pre_projection_obstacle_violation_agent_steps_total,pre_projection_pairwise_violation_pairs_total
corridor_obstacles,125,1.0,1.0,0.992,1.0,0,0,68.75,71.5,76.5,116.0,125,0.042703204824753,0.010169639279825,141.9923833818175,29727.68483112147,3097,3472,9,18,3490,0,3472,9
crossing_traffic,90,1.0,1.0,0.998,1.0,0,0,54.6875,55.725,58.25,77.0,90,0.0358961633810535,0.0,28.854912819573656,3292.5450689666905,80,99,0,0,99,0,99,0
merge_split,20,1.0,1.0,1.0,1.0,0,0,58.28125,59.10416666666667,60.625,73.75,20,0.0393680240436933,0.0,30.793910603504628,1126.412489916198,195,205,0,0,205,0,205,0
open_flock,20,1.0,1.0,0.998,1.0,0,0,51.725,52.3,53.70833333333333,68.0,20,0.0,0.0,24.946890868945047,860.1240451061167,0,0,0,0,0,0,0,0
