run_id,scenario,controller,n_agents,seed,packet_loss,latency_ms,comm_radius_m,k_neighbors,update_rate_hz,obstacle_update_rate_hz,local_safety_dropout,local_safety_latency_ms,local_safety_update_rate_hz,local_safety_position_noise_std_m,local_safety_velocity_noise_std_mps,horizon_s,dt_s,min_inter_agent_distance_m,min_obstacle_contact_boundary_margin_m,cumulative_collision_pairs,collision_rate_per_pair_step,cumulative_safety_violation_pairs,safety_violation_rate_per_pair_step,cumulative_obstacle_contacts,obstacle_contact_rate_per_agent_step,final_reached_fraction,mission_success,completion_time_s,final_mean_goal_distance_m,energy_proxy_accel2_s_per_agent,mean_messages_per_agent_per_update,runtime_s,runtime_ms_per_agent_step,scenario_description,pairwise_projection_calls,pairwise_projection_pair_adjustments,pairwise_projection_agent_adjustments,pairwise_projection_total_displacement_m,pairwise_projection_max_displacement_m,pairwise_projection_velocity_corrections,pairwise_projection_agent_adjustment_rate_per_agent_step,obstacle_projection_calls,obstacle_projection_agent_adjustments,obstacle_projection_total_displacement_m,obstacle_projection_max_displacement_m,obstacle_projection_velocity_corrections,obstacle_projection_agent_adjustment_rate_per_agent_step,projection_agent_adjustments,projection_agent_adjustment_rate_per_agent_step,projection_total_displacement_m,projection_mean_displacement_m_per_adjustment,projection_max_displacement_m,pre_projection_state_checks,pre_projection_collision_pairs,pre_projection_collision_rate_per_pair_step,pre_projection_obstacle_contacts,pre_projection_obstacle_contact_rate_per_agent_step,pre_projection_pairwise_violation_pairs,pre_projection_pairwise_violation_rate_per_pair_step,pre_projection_pairwise_violation_agent_steps,pre_projection_pairwise_violation_agent_rate_per_agent_step,pre_projection_pairwise_mean_penetration_m,pre_projection_pairwise_p95_penetration_m,pre_projection_pairwise_p99_penetration_m,pre_projection_pairwise_max_penetration_m,pre_projection_obstacle_violation_agent_steps,pre_projection_obstacle_violation_rate_per_agent_step,pre_projection_obstacle_mean_penetration_m,pre_projection_obstacle_p95_penetration_m,pre_projection_obstacle_p99_penetration_m,pre_projection_obstacle_max_penetration_m,pre_projection_obstacle_min_clearance_margin_m
corridor_obstacles__proposed__N100__pl00__lat050__seed0,corridor_obstacles,proposed,100,0,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3414500176774055,0.3557158017587122,0,0.0,58,4.8801214981973e-06,0,0.0,1.0,True,66.5,0.12506991271126333,31.071415118105733,11.708170478170478,70.8119311761111,0.2949268270558563,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21,8.75e-05,0.003309770150706939,0.004192482574666867,0.0042658551079636006,0.004284198241287784,-0.004284198241287784
corridor_obstacles__proposed__N100__pl00__lat050__seed1,corridor_obstacles,proposed,100,1,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3341606768210745,0.3528620488406593,0,0.0,61,5.132541575690263e-06,0,0.0,1.0,True,67.5,0.1233675769614165,31.718080298410506,11.728835758835759,70.33397117909044,0.2929361565143292,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,47,0.00019583333333333334,0.004365661468285974,0.007107000718435996,0.007125584857997103,0.007137951159340794,-0.007137951159340794
corridor_obstacles__proposed__N100__pl00__lat050__seed2,corridor_obstacles,proposed,100,2,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.34097924464463736,0.3530807203737065,0,0.0,52,4.375281343211372e-06,0,0.0,1.0,True,66.55,0.12515824151622906,31.919624648732878,11.683160083160082,68.47279323078692,0.28518447826233617,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0.0005291666666666667,0.004904514049945113,0.006855519903969842,0.0069125040813113655,0.006919279626293573,-0.006919279626293573
corridor_obstacles__proposed__N100__pl00__lat050__seed3,corridor_obstacles,proposed,100,3,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3542939712160146,0.3452069349840461,0,0.0,44,3.702161136563469e-06,0,0.0,1.0,True,66.60000000000001,0.1250121563217815,31.529333869839125,11.706694386694387,69.91747224517167,0.29120146707693323,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,74,0.0003083333333333333,0.007806904166354187,0.014756750397745044,0.01477495871220226,0.01479306501595401,-0.01479306501595401
corridor_obstacles__proposed__N100__pl00__lat050__seed4,corridor_obstacles,proposed,100,4,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3309544453399145,0.3483727973369193,0,0.0,57,4.795981472366312e-06,0,0.0,1.0,True,66.10000000000001,0.1250806312844904,31.643096407386626,11.713950103950104,69.35532076098025,0.28886014477709393,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,71,0.00029583333333333333,0.006094924349679819,0.01158402258184621,0.011606995938620534,0.011627202663080816,-0.011627202663080816
corridor_obstacles__proposed__N100__pl10__lat000__seed0,corridor_obstacles,proposed,100,0,0.1,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.33009479591362895,0.34822009105348073,0,0.0,68,5.7215217565071795e-06,0,0.0,1.0,True,66.9,0.12400071461397154,31.76763092725702,10.534199584199584,70.1312184818089,0.2920917054635939,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0005208333333333333,0.006603037077159822,0.011708279568171198,0.011759291533554449,0.011779908946519368,-0.011779908946519368
corridor_obstacles__proposed__N100__pl10__lat000__seed1,corridor_obstacles,proposed,100,1,0.1,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.329160736968098,0.35438176258576326,0,0.0,54,4.543561394873348e-06,0,0.0,1.0,True,66.25,0.12415523582337994,31.725369415104627,10.561372141372141,69.22497997106984,0.2883172843443142,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,41,0.00017083333333333333,0.0022625340061714905,0.0047658708519975335,0.005465330819611936,0.005618237414236837,-0.005618237414236837
corridor_obstacles__proposed__N100__pl10__lat000__seed2,corridor_obstacles,proposed,100,2,0.1,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.31347036808304335,0.3530025539348487,0,0.0,83,6.983622143971998e-06,0,0.0,1.0,True,66.5,0.12512762498609462,31.42852769612465,10.48,69.44844902819023,0.2892480176101217,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,120,0.0005,0.0038142674066365383,0.006901101486313665,0.006972615450951525,0.0069974460651514025,-0.0069974460651514025
corridor_obstacles__proposed__N100__pl10__lat000__seed3,corridor_obstacles,proposed,100,3,0.1,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.30812167198479656,0.34929621605594185,0,0.0,78,6.562922014817059e-06,0,0.0,1.0,True,67.25,0.125101364347068,31.517423703820686,10.53066528066528,68.7883779942058,0.2864988671145598,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,57,0.0002375,0.0068432405654891065,0.010665125516599839,0.010688403629611036,0.010703783944058243,-0.010703783944058243
corridor_obstacles__proposed__N100__pl10__lat000__seed4,corridor_obstacles,proposed,100,4,0.1,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.26978668928638616,0.3495838504311516,0,0.0,75,6.310501937324095e-06,0,0.0,1.0,True,66.5,0.12410127830770387,32.47515317815126,10.502702702702702,69.75099655101076,0.29050810725119014,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,80,0.0003333333333333333,0.004939588777897258,0.010352806915852619,0.01039857754473378,0.010416149568848398,-0.010416149568848398
