group,scenario_key,metric,projection_off,projection_on_reference
Merge--split,merge_split,max_conservative_envelope_penetration_m,0.1379293932141061,0.0393680240436933
Merge--split,merge_split,obstacle_max_conservative_penetration_m,0.1379293932141061,0.0393680240436933
Merge--split,merge_split,pairwise_max_conservative_penetration_m,0.0,0.0
Merge--split,merge_split,min_obstacle_contact_boundary_margin_m,0.2220706067858938,0.32063197595630666
Merge--split,merge_split,min_inter_agent_distance_m,0.2400240608607284,0.2207513654563501
Merge--split,merge_split,obstacle_projection_agent_adjustments,0.0,205.0
Merge--split,merge_split,pairwise_projection_agent_adjustments,0.0,0.0
Open flock,open_flock,runs,20.0,20.0
Open flock,open_flock,safety_success_rate,1.0,1.0
Open flock,open_flock,inter_agent_collision_pair_samples,0.0,0.0
Open flock,open_flock,obstacle_contact_samples,0.0,0.0
Open flock,open_flock,T90_median_s,51.725,51.725
Open flock,open_flock,T90_reached_runs,20.0,20.0
Open flock,open_flock,T95_median_s,52.3,52.3
Open flock,open_flock,T95_reached_runs,20.0,20.0
Open flock,open_flock,T99_median_s,53.70833333333333,53.70833333333333
Open flock,open_flock,T99_reached_runs,20.0,20.0
Open flock,open_flock,mean_reached_fraction,0.9999,0.9999
Open flock,open_flock,obstacle_clearance_violation_agent_steps,0.0,0.0
Open flock,open_flock,pairwise_clearance_violation_pairs,0.0,0.0
Open flock,open_flock,clearance_envelope_violation_steps_total,0.0,0.0
Open flock,open_flock,max_conservative_envelope_penetration_m,0.0,0.0
Open flock,open_flock,obstacle_max_conservative_penetration_m,0.0,0.0
Open flock,open_flock,pairwise_max_conservative_penetration_m,0.0,0.0
Open flock,open_flock,min_obstacle_contact_boundary_margin_m,,
Open flock,open_flock,min_inter_agent_distance_m,0.253520725275333,0.253520725275333
Open flock,open_flock,obstacle_projection_agent_adjustments,0.0,0.0
Open flock,open_flock,pairwise_projection_agent_adjustments,0.0,0.0
